Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Bán đất tại xã Yên Bài	87,5 m²	1,9 tỷ					21.0517700016119	105.444607016868	Xã Yên Bài, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Nhà biệt thự, liền kề tại Hyundai Hillstate	170 m²	24,5 tỷ		6 phòng	5 phòng	Sổ đỏ/ Sổ hồng	20.9636821746826	105.773704528809	Dự án Hyundai Hillstate, Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Sakura Tower	85 m²	Thỏa thuận		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.99761199951172	105.809326171875	Dự án Sakura Tower, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại An Bình City	83 m²	4,4 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0495662689209	105.778594970703	Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	45 m²	5,88 tỷ		3 phòng	4 phòng		20.9965037	105.8261259	Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	123 m²	48 tỷ	Đông - Bắc	8 phòng	10 phòng		21.0156019	105.8245088	Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại thị trấn Xuân Mai	97 m²	2 tỷ					20.897494484107	105.574531433696	Thị trấn Xuân Mai, Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Bán đất tại đường Văn Cao	70 m²	8,8 tỷ				Sổ đỏ/ Sổ hồng	21.0408085	105.8159728	Đường Văn Cao, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Lê Đức Thọ	45 m²	5,2 tỷ					21.0236716	105.7670309	Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Bán đất tại đường Đại lộ Thăng Long	63 m²	Thỏa thuận	Đông - Nam			Sổ đỏ/ Sổ hồng	21.0060575	105.6928276	Thôn 1, Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	40 m²	5,2 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0402639	105.8977812	Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư C13 Bộ Quốc Phòng	61 m²	2,25 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng.	20.983163833618164	105.82088470458984	Chung cư C13 Bộ Quốc Phòng, ngõ 99, Đường Định Công Hạ, Phường Định Công, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Goldmark City	78 m²	2,5 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0442333221436	105.767318725586	Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đền Lừ I	55 m²	13,5 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9846668243408	105.859748840332	Dự án Đền Lừ I, Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Golden Park Tower	90 m²	4 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.026817321777344	105.78766632080078	Dự án Golden Park Tower, Đường Phạm Văn Bạch, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại phố Trần Cung	38 m²	4,1 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0523823	105.7891513	Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà mặt phố tại phường Mai Dịch	86 m²	14,6 tỷ				Sổ đỏ/ Sổ hồng			Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Cổ Điển A	52 m²	4,1 tỷ				Sổ đỏ	20.9523773	105.8510315	Đường Cổ Điển A, Xã Tứ Hiệp, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại phường La Khê	35 m²	3,8 tỷ		3 phòng	3 phòng	Sổ đỏ			Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Quốc Lộ 17	80 m²	49 triệu/m²					21.0259303	105.9905535	Đường Quốc Lộ 17, Xã Kim Sơn, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Nguyễn Khoái	225 m²	22,5 tỷ				Sổ đỏ.	20.9986937	105.8874294	Đường Nguyễn Khoái, Phường Thanh Trì, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Phùng Khoang	36 m²	4,5 tỷ		3 phòng		Sổ đỏ/ Sổ hồng.	20.9881778	105.7931517	Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Bán đất tại xã Phú Cát	100 m²	2,35 tỷ				Sổ đỏ/ Sổ hồng			Xã Phú Cát, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Bán đất tại đường Quang Tiến	38 m²	3 tỷ	Tây - Bắc			Sổ đỏ/ Sổ hồng	21.0011158	105.7579961	Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Trinh Lương	34 m²	2,65 tỷ	Đông - Nam	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9368046	105.7695722	Đường Trinh Lương, Phường Phú Lương, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony	68 m²	2,7 tỷ		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.024395	105.72909	Dự án Moonlight 1 - An Lạc Green Symphony, Huyện Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại phố Thái Hà	76 m²	11,3 tỷ				Đã có sổ	21.012597	105.8201087	Ngõ 41, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội.	Đống Đa	Hà Nội
Bán đất tại đường Quốc lộ 3	86 m²	Thỏa thuận	Đông - Bắc			Đang chờ sổ	21.2774706	105.8577499	Đường Quốc lộ 3, Xã Phù Linh, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	70 m²	1,95 tỷ		2 phòng	2 phòng	Sổ đỏ.	21.00241470336914	105.964111328125	Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Căn hộ chung cư tại The Garden Hills - 99 Trần Bình	80 m²	3,2 tỷ	Tây - Nam	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0304050445557	105.777030944824	Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Le Grand Jardin Sài Đồng	83 m²	3 tỷ	Tây - Nam	3 phòng	2 phòng	Hợp đồng mua bán	21.035978317260742	105.90629577636719	Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Bằng A	80 m²	7,8 tỷ		3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9621208	105.8205904	Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Vinhomes D'Capitale	53 m²	2,6 tỷ		2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	21.00580596923828	105.79437255859375	Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	68 m²	10,8 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9965037	105.8261259	Ngõ 69, Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Chung cư Đại Thanh	59 m²	1,59 tỷ	Tây - Bắc	2 phòng	1 phòng		20.95757484436035	105.80690002441406	Dự án Chung cư Đại Thanh, Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại đường Thạch Bàn	41 m²	6,5 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0250451	105.9078847	Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Lạc Long Quân	40 m²	6,3 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0556973	105.8088033	Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Cầu Giấy	65 m²	7,1 tỷ		14 phòng		Sổ đỏ/ Sổ hồng	21.0319529	105.7995321	Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại xã Yên Bài	78 m²	1,45 tỷ							Xã Yên Bài, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Nhà riêng tại đường Khương Trung	30 m²	3,1 tỷ		2 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9955651	105.8175922	Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Thăng Long Green City	48,69 m²	Thỏa thuận		2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	21.12312	105.77452	Dự án Thăng Long Green City, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Bán đất tại đường Trích Sài	757 m²	530 tỷ	Đông - Bắc			Sổ đỏ/ Sổ hồng	21.0479899	105.8144873	Đường Trích Sài, Phường Thụy Khuê, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Rice City Linh Đàm	68 m²	Thỏa thuận		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.963834762573242	105.82245635986328	Dự án Rice City Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại đường Lạc Long Quân	300 m²	168 tỷ		5 phòng	4 phòng		21.0610134	105.809127	Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới An Hưng	83 m²	12,9 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.973155975341797	105.75764465332031	Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Đào Tấn	50 m²	6,4 tỷ		5 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0325448	105.8089097	Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại phố Lạc Trung	96 m²	7,6 tỷ		4 phòng		Sổ đỏ/ Sổ hồng	21.0029863	105.865675	Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới An Hưng	88 m²	11,99 tỷ		4 phòng	5 phòng	Sđcc phân lô	20.973155975341797	105.75764465332031	Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội.	Hà Đông	Hà Nội
Nhà riêng tại đường Trần Hữu Dực	30 m²	3,3 tỷ	Đông - Nam	3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0294262	105.763559	Đường Trần Hữu Dực, Phường Phương Canh, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Anland LakeView	74 m²	3,1 tỷ	Đông - Nam	2 phòng	2 phòng	Hợp đồng mua bán	20.9830436706543	105.757339477539	Dự án Anland LakeView, Đường Ngô Thì Nhậm, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Nam Thăng Long - Ciputra	130 m²	36 tỷ				Sổ đỏ/ Sổ hồng	21.07213592529297	105.81099700927734	Dự án Ciputra Hà Nội, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Quốc lộ 6	33 m²	1,17 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.9307918	105.7173037	Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Căn hộ chung cư tại Sun Grand City Ancora Residence	90 m²	Thỏa thuận	Đông	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.011675	105.86268	Dự án Sun Grand City Ancora Residence, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Xuân La	60 m²	11,8 tỷ	Nam	6 phòng			21.0644876	105.8061035	Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường Đại lộ Thăng Long	126 m²	74 triệu/m²	Tây - Bắc			Sổ đỏ/ Sổ hồng	20.9967484026621	105.709237970453	Đường Đại lộ Thăng Long, Xã An Thượng, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Huỳnh Thúc Kháng	46,8 m²	8,99 tỷ	Đông - Nam	4 phòng	3 phòng	Đã có sổ	21.0183987	105.8112651	18, Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại phố Láng Hạ	430 m²	355 triệu/m²					21.0153717	105.8128851	Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Tô Ngọc Vân	65 m²	22,5 tỷ	Tây - Nam	7 phòng			21.068793	105.8242369	Ngõ 67, Đường Tô Ngọc Vân, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Rice City Linh Đàm	68 m²	2,75 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.9638347625732	105.822456359863	Dự án Rice City Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại phố Thái Hà	110 m²	15,5 tỷ				Đã có sổ	21.0146557	105.8174227	Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường 32	36,6 m²	730 triệu				Sổ đỏ/ Sổ hồng	21.0857619	105.6608592	Đường 32, Thị trấn Phùng, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà mặt phố tại đường Duy Tân	115 m²	500 triệu/m²	Nam				21.0309274	105.7840373	Đường Duy Tân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Chung cư C1 C2 Xuân Đỉnh	61,5 m²	2,8 tỷ	Tây - Nam	2 phòng	2 phòng	Sổ đỏ	21.0702457427979	105.791473388672	C1 C2 Xuân Đỉnh, 323, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Bán đất tại xã Hạ Bằng	70 m²	Thỏa thuận				Sổ đỏ/ Sổ hồng	21.0044118770494	105.556549287608	Xã Hạ Bằng, Thạch Thất, Hà Nội	Thạch Thất	Hà Nội
Nhà riêng tại đường Khương Đình	35 m²	6,2 tỷ				Sổ đỏ/ Sổ hồng	20.9911336	105.8132797	Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Hoàng Cầu Skyline	120 m²	8 tỷ		3 phòng	2 phòng		21.0164928436279	105.822814941406	Hoàng Cầu Skyline, 36, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại Tiểu khu đô thị Nam La Khê	126 m²	16,5 tỷ		4 phòng	4 phòng	Sổ đỏ	20.972412109375	105.76152801513672	Dự án Nam La Khê, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại BRG Diamond Residence	152 m²	8,69 tỷ		4 phòng	3 phòng		21.0052261352539	105.805061340332	BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	156 m²	31 tỷ	Đông - Nam	5 phòng	5 phòng	Sổ đỏ	20.9748001098633	105.835304260254	Dự án KĐT Đại Kim, Đường Nguyễn Cảnh Dị, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại FLC Complex 36 Phạm Hùng	70 m²	3 tỷ	Nam	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.02819061279297	105.7791976928711	Dự án FLC Complex Phạm Hùng, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Geleximco - Lê Trọng Tấn	144 m²	18,5 tỷ	Đông - Nam				20.97924041748047	105.74178314208984	Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Bát Khối	350 m²	31 tỷ					21.012732	105.9049025	Đường Bát Khối, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới An Hưng	90 m²	15,6 tỷ	Tây - Bắc			Sổ đỏ	20.9731559753418	105.75764465332	Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Đại Thanh	45 m²	1,19 tỷ		1 phòng	1 phòng	Sổ đỏ/ Sổ hồng	20.95571517944336	105.80709075927734	Dự án Đại Thanh, Xã Tả Thanh Oai, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	83 m²	6,3 tỷ					21.0495394	105.8834124	Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Capital Elite	119 m²	6,7 tỷ	Tây - Bắc	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0311444220242	105.77816581726	Capital Elite, Số 18, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Xã Đàn	43 m²	5,15 tỷ		3 phòng	4 phòng	Sổ đỏ chính chủ	21.0117028	105.8368627	Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại đường Vệ Hồ	140 m²	32 tỷ					21.0641535	105.8067611	Đường Vệ Hồ, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường Do Nha	38 m²	2,15 tỷ	Tây - Bắc			Đã có sổ đỏ riêng.	21.0057899	105.7484722	Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Masteri West Heights	55 m²	3,15 tỷ	Đông - Bắc	2 phòng	2 phòng	Hợp đồng mua bán	21.006206512451172	105.73707580566406	Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Toà nhà 335 Cầu Giấy	125 m²	4,3 tỷ	Đông - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0352897644043	105.791854858398	Dự án 335 Cầu Giấy, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Ỷ La	35 m²	2,08 tỷ		4 phòng	3 phòng	Sổ đỏ/ sổ hồng	20.9709582	105.7470688	Ngõ 164, Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	46 m²	4,6 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0459262	105.8113053	Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Vân Canh	100 m²	75 triệu/m²				Sổ đỏ/ Sổ hồng	21.0413055419922	105.732070922852	Dự án Khu đô thị Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà mặt phố tại đường Lê Trọng Tấn	120 m²	21 tỷ		5 phòng	4 phòng	Sổ đỏ chính chủ.	20.9984197	105.8284458	Đường Lê Trọng Tấn, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Chung cư Đại Thanh	47 m²	1,25 tỷ	Đông - Nam	2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	20.9575748443604	105.806900024414	Dự án Chung cư Đại Thanh, Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại phố Phùng Chí Kiên	55 m²	11 tỷ				Sổ đỏ/ Sổ hồng	21.0432126	105.8026243	Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Vũ Phạm Hàm	80 m²	22,8 tỷ				Sổ đỏ/ Sổ hồng	21.0156149	105.7974923	Đường Vũ Phạm Hàm, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại phố Thái Hà	68 m²	9,9 tỷ	Nam	4 phòng	3 phòng	Đã có sổ	21.012597	105.8201087	Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường Đa Phúc	138 m²	45 triệu/m²					21.2589377160699	105.844353670455	Đường Đa Phúc, Xã Tiên Dược, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Nhà biệt thự, liền kề tại Khu nhà ở 90 Nguyễn Tuân	71,5 m²	25 tỷ	Đông - Nam			Sổ đỏ/ Sổ hồng	20.99629783630371	105.80563354492188	Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại thị trấn Trâu Quỳ	100 m²	6,5 tỷ				Sổ đỏ/ Sổ hồng			Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Thụy Khuê	120 m²	8,8 tỷ				Sổ đỏ	21.0427171	105.8241613	Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường Quốc lộ 21A(Quốc lộ 21)	72 m²	4,1 tỷ				Sổ đỏ/ Sổ hồng	20.8403566	105.6382899	Đường Quốc lộ 21A(Quốc lộ 21), Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Nhà riêng tại đường Tây Sơn	55 m²	11,2 tỷ				Sổ đỏ/ Sổ hồng	21.0083867	105.823834	Đường Tây Sơn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường 422B	46 m²	77 triệu/m²	Nam			Sổ đỏ/ Sổ hồng	21.030399369684	105.732218188185	Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà mặt phố tại đường Nguyễn Hoàng	83 m²	Thỏa thuận					21.0312752	105.7744451	Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại The Terra An Hưng	65 m²	18,3 tỷ	Tây - Nam	1 phòng	1 phòng	Sổ đỏ.	20.9743461608887	105.754165649414	Dự án The Terra An Hưng, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
